line,id,source_file,type,course_code,decision,issues,question,answer
11,IR-WEB-SECTIONS,intelligent_robotics_qa_pairs.jsonl,website_metadata,,review,metadata_not_student_advice,What sections are shown on the MMU Intelligent Robotics page?,"The scraped page sections include: Entry Requirements, Programme Structure, Core, Year 1, Year 2, Year 3, BYOC Elective Subjects, University Subjects, Career Prospects."
12,IR-WEB-ENTRY-01,intelligent_robotics_qa_pairs.jsonl,entry_requirement,,cut_or_rewrite,low_user_value_question,What is entry requirement 1 for Intelligent Robotics?,Pass Foundation or Matriculation studies in a related field from a recognised institution with a minimum CGPA of 2.00.
13,IR-WEB-ENTRY-02,intelligent_robotics_qa_pairs.jsonl,entry_requirement,,cut_or_rewrite,low_user_value_question,What is entry requirement 2 for Intelligent Robotics?,Pass STPM or equivalent with a minimum Grade C (GP 2.00) in any 2 subjects.
14,IR-WEB-ENTRY-03,intelligent_robotics_qa_pairs.jsonl,entry_requirement,,cut_or_rewrite,low_user_value_question,What is entry requirement 3 for Intelligent Robotics?,Pass A-Level with a minimum Grade D in any two subjects.
15,IR-WEB-ENTRY-04,intelligent_robotics_qa_pairs.jsonl,entry_requirement,,cut_or_rewrite,low_user_value_question,What is entry requirement 4 for Intelligent Robotics?,Pass UEC with a minimum Grade B in at least five subjects.
16,IR-WEB-ENTRY-05,intelligent_robotics_qa_pairs.jsonl,entry_requirement,,cut_or_rewrite,low_user_value_question,What is entry requirement 5 for Intelligent Robotics?,Pass STAM with minimum grade of Jayyid.
17,IR-WEB-ENTRY-06,intelligent_robotics_qa_pairs.jsonl,entry_requirement,,cut_or_rewrite,low_user_value_question,What is entry requirement 6 for Intelligent Robotics?,Recognised Diploma in a related field with a minimum CGPA of 2.00 or equivalent.
18,IR-WEB-ENTRY-07,intelligent_robotics_qa_pairs.jsonl,entry_requirement,,cut_or_rewrite,low_user_value_question,What is entry requirement 7 for Intelligent Robotics?,"Pass DKM, DLKM or DVM with a minimum CGPA of 2.50; candidates below 2.50 must have at least two years of related work experience."
19,IR-WEB-ENTRY-08,intelligent_robotics_qa_pairs.jsonl,entry_requirement,,cut_or_rewrite,low_user_value_question,What is entry requirement 8 for Intelligent Robotics?,Other relevant and equivalent qualifications recognised by the Malaysian Government.
20,IR-WEB-ENTRY-09,intelligent_robotics_qa_pairs.jsonl,entry_requirement,,cut_or_rewrite,low_user_value_question,What is entry requirement 9 for Intelligent Robotics?,Possess an APEL.A certificate from MQA for admission into Bachelor programmes.
21,IR-WEB-ENTRY-NOTE-DKM-BRIDGING,intelligent_robotics_qa_pairs.jsonl,entry_note,,review,metadata_not_student_advice,"What note applies to DKM, DLKM or DVM applicants for Intelligent Robotics?",DKM / DLKM / DVM candidates may be required to undergo a Bridging Programme as an additional requirement.
22,IR-WEB-YEAR-1,intelligent_robotics_qa_pairs.jsonl,term_structure,,keep,,What courses are listed in Year 1 for Intelligent Robotics?,"Year 1: Technical Calculus, Computer and Programming, Micro-Controllers & Microprocessors, Electrical Circuits, Basic Electronics, Differential Equations, Digital Design, Linear Algebra and Numerical Methods, Rapid Modelling, Analog Electronics."
23,IR-WEB-COURSE-ARM6113,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Technical Calculus fit in the Intelligent Robotics structure?,Technical Calculus is listed under Year 1 in the Intelligent Robotics programme structure.
24,IR-WEB-COURSE-ARC6113,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Computer and Programming fit in the Intelligent Robotics structure?,Computer and Programming is listed under Year 1 in the Intelligent Robotics programme structure.
25,IR-WEB-COURSE-ARC6123,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Micro-Controllers & Microprocessors fit in the Intelligent Robotics structure?,Micro-Controllers & Microprocessors is listed under Year 1 in the Intelligent Robotics programme structure.
26,IR-WEB-COURSE-ARL6113,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Electrical Circuits fit in the Intelligent Robotics structure?,Electrical Circuits is listed under Year 1 in the Intelligent Robotics programme structure.
27,IR-WEB-COURSE-ARE6113,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Basic Electronics fit in the Intelligent Robotics structure?,Basic Electronics is listed under Year 1 in the Intelligent Robotics programme structure.
28,IR-WEB-COURSE-ARM6123,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Differential Equations fit in the Intelligent Robotics structure?,Differential Equations is listed under Year 1 in the Intelligent Robotics programme structure.
29,IR-WEB-COURSE-ARE6123,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Digital Design fit in the Intelligent Robotics structure?,Digital Design is listed under Year 1 in the Intelligent Robotics programme structure.
30,IR-WEB-COURSE-ARM6133,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Linear Algebra and Numerical Methods fit in the Intelligent Robotics structure?,Linear Algebra and Numerical Methods is listed under Year 1 in the Intelligent Robotics programme structure.
31,IR-WEB-COURSE-MID6113,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Rapid Modelling fit in the Intelligent Robotics structure?,Rapid Modelling is listed under Year 1 in the Intelligent Robotics programme structure.
32,IR-WEB-COURSE-ARE6133,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Analog Electronics fit in the Intelligent Robotics structure?,Analog Electronics is listed under Year 1 in the Intelligent Robotics programme structure.
33,IR-WEB-YEAR-2,intelligent_robotics_qa_pairs.jsonl,term_structure,,keep,,What courses are listed in Year 2 for Intelligent Robotics?,"Year 2: Linear Systems & Signals, Electromagnetics with Applications, Electrical Machines and Power Systems, Robotics - Machine Design and Mechanisms, Introduction to Artificial Intelligence, Actuators and Sensors, Electronics Instrumentation, Robotics - Modelling and Control, Feedback Control, Advanced Programming, Machine Learning Concepts and Technologies, Machine Vision & Image Processing."
34,IR-WEB-COURSE-ARL6143,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Linear Systems & Signals fit in the Intelligent Robotics structure?,Linear Systems & Signals is listed under Year 2 in the Intelligent Robotics programme structure.
35,IR-WEB-COURSE-ARL6134,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Electromagnetics with Applications fit in the Intelligent Robotics structure?,Electromagnetics with Applications is listed under Year 2 in the Intelligent Robotics programme structure.
36,IR-WEB-COURSE-ARL6123,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Electrical Machines and Power Systems fit in the Intelligent Robotics structure?,Electrical Machines and Power Systems is listed under Year 2 in the Intelligent Robotics programme structure.
37,IR-WEB-COURSE-ARR6123,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Robotics - Machine Design and Mechanisms fit in the Intelligent Robotics structure?,Robotics - Machine Design and Mechanisms is listed under Year 2 in the Intelligent Robotics programme structure.
38,IR-WEB-COURSE-ARA6113,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Introduction to Artificial Intelligence fit in the Intelligent Robotics structure?,Introduction to Artificial Intelligence is listed under Year 2 in the Intelligent Robotics programme structure.
39,IR-WEB-COURSE-ARR6133,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Actuators and Sensors fit in the Intelligent Robotics structure?,Actuators and Sensors is listed under Year 2 in the Intelligent Robotics programme structure.
40,IR-WEB-COURSE-ARC6133,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Electronics Instrumentation fit in the Intelligent Robotics structure?,Electronics Instrumentation is listed under Year 2 in the Intelligent Robotics programme structure.
41,IR-WEB-COURSE-ARR6143,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Robotics - Modelling and Control fit in the Intelligent Robotics structure?,Robotics - Modelling and Control is listed under Year 2 in the Intelligent Robotics programme structure.
42,IR-WEB-COURSE-ARC6144,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Feedback Control fit in the Intelligent Robotics structure?,Feedback Control is listed under Year 2 in the Intelligent Robotics programme structure.
43,IR-WEB-COURSE-ARC6173,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Advanced Programming fit in the Intelligent Robotics structure?,Advanced Programming is listed under Year 2 in the Intelligent Robotics programme structure.
44,IR-WEB-COURSE-ARA6123,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Machine Learning Concepts and Technologies fit in the Intelligent Robotics structure?,Machine Learning Concepts and Technologies is listed under Year 2 in the Intelligent Robotics programme structure.
45,IR-WEB-COURSE-ARA6144,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Machine Vision & Image Processing fit in the Intelligent Robotics structure?,Machine Vision & Image Processing is listed under Year 2 in the Intelligent Robotics programme structure.
46,IR-WEB-YEAR-3,intelligent_robotics_qa_pairs.jsonl,term_structure,,keep,,What courses are listed in Year 3 for Intelligent Robotics?,"Year 3: Mobile Robots and Drones, Project I, Project II, Industrial Training, Making Embedded Systems, Robot Programming, Elective 1 BYOC, Elective 2 BYOC, Elective 3 BYOC."
47,IR-WEB-COURSE-ARR6153,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Mobile Robots and Drones fit in the Intelligent Robotics structure?,Mobile Robots and Drones is listed under Year 3 in the Intelligent Robotics programme structure.
48,IR-WEB-COURSE-ARP6110-P1,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Project I fit in the Intelligent Robotics structure?,Project I is listed under Year 3 in the Intelligent Robotics programme structure.
49,IR-WEB-COURSE-ARP6110-P2,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Project II fit in the Intelligent Robotics structure?,Project II is listed under Year 3 in the Intelligent Robotics programme structure.
50,IR-WEB-COURSE-ART6116,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Industrial Training fit in the Intelligent Robotics structure?,Industrial Training is listed under Year 3 in the Intelligent Robotics programme structure.
51,IR-WEB-COURSE-ARC6184,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Making Embedded Systems fit in the Intelligent Robotics structure?,Making Embedded Systems is listed under Year 3 in the Intelligent Robotics programme structure.
52,IR-WEB-COURSE-ARR6163,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Robot Programming fit in the Intelligent Robotics structure?,Robot Programming is listed under Year 3 in the Intelligent Robotics programme structure.
53,IR-WEB-COURSE-BYOC-1,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Elective 1 BYOC fit in the Intelligent Robotics structure?,Elective 1 BYOC is listed under Year 3 in the Intelligent Robotics programme structure.
54,IR-WEB-COURSE-BYOC-2,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Elective 2 BYOC fit in the Intelligent Robotics structure?,Elective 2 BYOC is listed under Year 3 in the Intelligent Robotics programme structure.
55,IR-WEB-COURSE-BYOC-3,intelligent_robotics_qa_pairs.jsonl,course_in_structure,,keep,,Where does Elective 3 BYOC fit in the Intelligent Robotics structure?,Elective 3 BYOC is listed under Year 3 in the Intelligent Robotics programme structure.
56,IR-WEB-BYOC-MARCH-APRIL,intelligent_robotics_qa_pairs.jsonl,byoc_electives,,keep,,What BYOC elective subjects are offered in March/April for Intelligent Robotics?,"March/April BYOC elective subjects include: Fundamentals of Marketing, Digital Transformation Strategy, Personal Finance, Radio Network Planning Towards 5G, Media Anthropology, Project Management, Motion Capture, Media Law, Corporate Strategy, Social Media Strategies, Introductory Mobile Application Development, Basic Filmmaking, Fundamental of Wireless Communications. A practical way to choose: 1. Pick Project Management or Corporate Strategy if you want stronger project leadership. 2. Pick Introductory Mobile Application Development if you want to connect robotics with apps. 3. Pick Radio Network Planning Towards 5G or Fundamental of Wireless Communications if you like connected robots and networks. 4. Pick Motion Capture or Basic Filmmaking if you want creative or interactive robotics work. 5. Pick Personal Finance if you want a useful life skill outside the technical track."
57,IR-WEB-BYOC-OCTOBER-NOVEMBER,intelligent_robotics_qa_pairs.jsonl,byoc_electives,,keep,,What BYOC elective subjects are offered in October/November for Intelligent Robotics?,"October/November BYOC elective subjects include: Design Thinking for Strategic Communication, Corporate Communication, Suspenseful Filmmaking, Communications Networks, Introductory Data Science, Introductory Data Visualization, Visual and Corporate Identity, Information Visualization, Principal of Finance, Fundamental of Marketing. A practical way to choose: 1. Pick Introductory Data Science or Introductory Data Visualization if you want stronger data skills for robotics. 2. Pick Communications Networks if you are interested in connected systems. 3. Pick Design Thinking for Strategic Communication if you want better problem framing and presentation skills. 4. Pick Corporate Communication or Visual and Corporate Identity if you want stronger communication for projects. 5. Pick Principal of Finance or Fundamental of Marketing if you want broader business awareness."
58,IR-WEB-UNIVERSITY-SUBJECTS,intelligent_robotics_qa_pairs.jsonl,mpu_notes,,keep,,What university subjects are included in Intelligent Robotics?,University subjects include: Character Building Program: Character Building and Sustainable Society; Fundamentals of Digital Competence for Programmers; U1 - Falsafah dan Isu Semasa; U1 - Penghayatan Etika dan Peradaban Isu Semasa (local students) / Bahasa Melayu Komunikasi 2 (international students); U2 - Bahasa Kebangsaan A / Foreign Language; U3 - Integrity and Leadership; U4 - Co-Curriculum.
59,IR-WEB-CAREERS,intelligent_robotics_qa_pairs.jsonl,career_prospects,,keep,,What career prospects are listed for Intelligent Robotics graduates?,"Career prospects include: Robotics System Designer/Programmers, AI and Machine Learning Developer, Embedded System Designer, Control and Automation Specialist, Field Application Technologist, Printed Circuit Board (PCB) Designer, Production and Planning Engineer, Industry 4.0 Technologist."
60,IR-WEB-PROJECT-RULE,intelligent_robotics_qa_pairs.jsonl,rule,,keep,,What is the project progression rule for Intelligent Robotics?,Project I requires completed 60 credit hours. Project II requires completed 60 credit hours and Project I.
61,IR-WEB-INDUSTRIAL-TRAINING-RULE,intelligent_robotics_qa_pairs.jsonl,rule,,keep,,What is the Industrial Training prerequisite for Intelligent Robotics?,Industrial Training requires completed 60 credit hours.
62,IR-ARM6113-01,intelligent_robotics_qa_pairs.jsonl,,ARM6113,keep,duplicate_question,What is ARM6113 (Technical Calculus) about?,"Foundational calculus for robotics, engineering analysis, modelling, and later control or signal courses."
63,IR-ARM6113-02,intelligent_robotics_qa_pairs.jsonl,,ARM6113,keep,,What is the course code for Technical Calculus?,The course code for Technical Calculus is ARM6113.
64,IR-ARM6113-03,intelligent_robotics_qa_pairs.jsonl,,ARM6113,keep,,What is the course name for ARM6113?,ARM6113 is Technical Calculus.
65,IR-ARM6113-04,intelligent_robotics_qa_pairs.jsonl,,ARM6113,keep,,Which year is ARM6113 Technical Calculus listed in?,ARM6113 Technical Calculus is listed in Year 1 of the Intelligent Robotics structure.
66,IR-ARM6113-05,intelligent_robotics_qa_pairs.jsonl,,ARM6113,keep,,What prerequisite is listed for ARM6113 Technical Calculus in the MMU website structure?,Prerequisite for ARM6113 Technical Calculus: No prerequisite is specified on the MMU programme page or current extracted prerequisite rules.
67,IR-ARM6113-06,intelligent_robotics_qa_pairs.jsonl,,ARM6113,keep,,How does ARM6113 connect to the Intelligent Robotics learning path?,ARM6113 Technical Calculus connects to Year 1 core study in Intelligent Robotics.
68,IR-ARC6113-01,intelligent_robotics_qa_pairs.jsonl,,ARC6113,keep,duplicate_question,What is ARC6113 (Computer and Programming) about?,"Programming foundations for robotics software, algorithms, control structures, functions, data handling, and implementation."
69,IR-ARC6113-02,intelligent_robotics_qa_pairs.jsonl,,ARC6113,keep,,What is the course code for Computer and Programming?,The course code for Computer and Programming is ARC6113.
70,IR-ARC6113-03,intelligent_robotics_qa_pairs.jsonl,,ARC6113,keep,,What is the course name for ARC6113?,ARC6113 is Computer and Programming.
71,IR-ARC6113-04,intelligent_robotics_qa_pairs.jsonl,,ARC6113,keep,,Which year is ARC6113 Computer and Programming listed in?,ARC6113 Computer and Programming is listed in Year 1 of the Intelligent Robotics structure.
72,IR-ARC6113-05,intelligent_robotics_qa_pairs.jsonl,,ARC6113,keep,,What prerequisite is listed for ARC6113 Computer and Programming in the MMU website structure?,Prerequisite for ARC6113 Computer and Programming: No prerequisite is specified on the MMU programme page or current extracted prerequisite rules.
73,IR-ARC6113-06,intelligent_robotics_qa_pairs.jsonl,,ARC6113,keep,,How does ARC6113 connect to the Intelligent Robotics learning path?,ARC6113 Computer and Programming connects to Year 1 core study in Intelligent Robotics.
74,IR-ARC6123-01,intelligent_robotics_qa_pairs.jsonl,,ARC6123,keep,,What is ARC6123 (Micro-Controllers & Microprocessors) about?,"Embedded processor fundamentals for interfacing sensors, actuators, controllers, and robotics hardware."
75,IR-ARC6123-02,intelligent_robotics_qa_pairs.jsonl,,ARC6123,keep,,What is the course code for Micro-Controllers & Microprocessors?,The course code for Micro-Controllers & Microprocessors is ARC6123.
76,IR-ARC6123-03,intelligent_robotics_qa_pairs.jsonl,,ARC6123,keep,,What is the course name for ARC6123?,ARC6123 is Micro-Controllers & Microprocessors.
77,IR-ARC6123-04,intelligent_robotics_qa_pairs.jsonl,,ARC6123,keep,,Which year is ARC6123 Micro-Controllers & Microprocessors listed in?,ARC6123 Micro-Controllers & Microprocessors is listed in Year 1 of the Intelligent Robotics structure.
78,IR-ARC6123-05,intelligent_robotics_qa_pairs.jsonl,,ARC6123,keep,,What prerequisite is listed for ARC6123 Micro-Controllers & Microprocessors in the MMU website structure?,Prerequisite for ARC6123 Micro-Controllers & Microprocessors: No prerequisite is specified on the MMU programme page or current extracted prerequisite rules.
79,IR-ARC6123-06,intelligent_robotics_qa_pairs.jsonl,,ARC6123,keep,,How does ARC6123 connect to the Intelligent Robotics learning path?,ARC6123 Micro-Controllers & Microprocessors connects to Year 1 core study in Intelligent Robotics.
80,IR-ARL6113-01,intelligent_robotics_qa_pairs.jsonl,,ARL6113,keep,duplicate_question,What is ARL6113 (Electrical Circuits) about?,"Electrical circuit theory needed for electronics, signals, power systems, and robotics hardware analysis."
81,IR-ARL6113-02,intelligent_robotics_qa_pairs.jsonl,,ARL6113,keep,,What is the course code for Electrical Circuits?,The course code for Electrical Circuits is ARL6113.
82,IR-ARL6113-03,intelligent_robotics_qa_pairs.jsonl,,ARL6113,keep,,What is the course name for ARL6113?,ARL6113 is Electrical Circuits.
83,IR-ARL6113-04,intelligent_robotics_qa_pairs.jsonl,,ARL6113,keep,,Which year is ARL6113 Electrical Circuits listed in?,ARL6113 Electrical Circuits is listed in Year 1 of the Intelligent Robotics structure.
84,IR-ARL6113-05,intelligent_robotics_qa_pairs.jsonl,,ARL6113,keep,,What prerequisite is listed for ARL6113 Electrical Circuits in the MMU website structure?,Prerequisite for ARL6113 Electrical Circuits: No prerequisite is specified on the MMU programme page or current extracted prerequisite rules.
85,IR-ARL6113-06,intelligent_robotics_qa_pairs.jsonl,,ARL6113,keep,,How does ARL6113 connect to the Intelligent Robotics learning path?,ARL6113 Electrical Circuits connects to Year 1 core study in Intelligent Robotics.
86,IR-ARE6113-01,intelligent_robotics_qa_pairs.jsonl,,ARE6113,keep,duplicate_question,What is ARE6113 (Basic Electronics) about?,"Semiconductor and electronics fundamentals supporting instrumentation, microcontrollers, sensors, and embedded systems."
87,IR-ARE6113-02,intelligent_robotics_qa_pairs.jsonl,,ARE6113,keep,,What is the course code for Basic Electronics?,The course code for Basic Electronics is ARE6113.
88,IR-ARE6113-03,intelligent_robotics_qa_pairs.jsonl,,ARE6113,keep,,What is the course name for ARE6113?,ARE6113 is Basic Electronics.
89,IR-ARE6113-04,intelligent_robotics_qa_pairs.jsonl,,ARE6113,keep,,Which year is ARE6113 Basic Electronics listed in?,ARE6113 Basic Electronics is listed in Year 1 of the Intelligent Robotics structure.
90,IR-ARE6113-05,intelligent_robotics_qa_pairs.jsonl,,ARE6113,keep,,What prerequisite is listed for ARE6113 Basic Electronics in the MMU website structure?,Prerequisite for ARE6113 Basic Electronics: No prerequisite is specified on the MMU programme page or current extracted prerequisite rules.
91,IR-ARE6113-06,intelligent_robotics_qa_pairs.jsonl,,ARE6113,keep,,How does ARE6113 connect to the Intelligent Robotics learning path?,ARE6113 Basic Electronics connects to Year 1 core study in Intelligent Robotics.
92,IR-ARM6123-01,intelligent_robotics_qa_pairs.jsonl,,ARM6123,keep,duplicate_question,What is ARM6123 (Differential Equations) about?,"Mathematical modelling of dynamic systems used in robotics, control, signals, and automation."
93,IR-ARM6123-02,intelligent_robotics_qa_pairs.jsonl,,ARM6123,keep,,What is the course code for Differential Equations?,The course code for Differential Equations is ARM6123.
94,IR-ARM6123-03,intelligent_robotics_qa_pairs.jsonl,,ARM6123,keep,,What is the course name for ARM6123?,ARM6123 is Differential Equations.
95,IR-ARM6123-04,intelligent_robotics_qa_pairs.jsonl,,ARM6123,keep,,Which year is ARM6123 Differential Equations listed in?,ARM6123 Differential Equations is listed in Year 1 of the Intelligent Robotics structure.
96,IR-ARM6123-05,intelligent_robotics_qa_pairs.jsonl,,ARM6123,keep,,What prerequisite is listed for ARM6123 Differential Equations in the MMU website structure?,Prerequisite for ARM6123 Differential Equations: ARM6113 Technical Calculus
97,IR-ARM6123-06,intelligent_robotics_qa_pairs.jsonl,,ARM6123,keep,,How does ARM6123 connect to the Intelligent Robotics learning path?,ARM6123 Differential Equations connects to Year 1 core study in Intelligent Robotics.
98,IR-ARE6123-01,intelligent_robotics_qa_pairs.jsonl,,ARE6123,keep,duplicate_question,What is ARE6123 (Digital Design) about?,Digital logic and sequential/combinational design for computing hardware and embedded robotics systems.
99,IR-ARE6123-02,intelligent_robotics_qa_pairs.jsonl,,ARE6123,keep,,What is the course code for Digital Design?,The course code for Digital Design is ARE6123.
100,IR-ARE6123-03,intelligent_robotics_qa_pairs.jsonl,,ARE6123,keep,,What is the course name for ARE6123?,ARE6123 is Digital Design.
101,IR-ARE6123-04,intelligent_robotics_qa_pairs.jsonl,,ARE6123,keep,,Which year is ARE6123 Digital Design listed in?,ARE6123 Digital Design is listed in Year 1 of the Intelligent Robotics structure.
102,IR-ARE6123-05,intelligent_robotics_qa_pairs.jsonl,,ARE6123,keep,,What prerequisite is listed for ARE6123 Digital Design in the MMU website structure?,Prerequisite for ARE6123 Digital Design: No prerequisite is specified on the MMU programme page or current extracted prerequisite rules.
103,IR-ARE6123-06,intelligent_robotics_qa_pairs.jsonl,,ARE6123,keep,,How does ARE6123 connect to the Intelligent Robotics learning path?,ARE6123 Digital Design connects to Year 1 core study in Intelligent Robotics.
104,IR-ARM6133-01,intelligent_robotics_qa_pairs.jsonl,,ARM6133,keep,duplicate_question,What is ARM6133 (Linear Algebra and Numerical Methods) about?,"Matrix methods and numerical techniques used in robotics kinematics, AI, modelling, and simulation."
105,IR-ARM6133-02,intelligent_robotics_qa_pairs.jsonl,,ARM6133,keep,,What is the course code for Linear Algebra and Numerical Methods?,The course code for Linear Algebra and Numerical Methods is ARM6133.
106,IR-ARM6133-03,intelligent_robotics_qa_pairs.jsonl,,ARM6133,keep,,What is the course name for ARM6133?,ARM6133 is Linear Algebra and Numerical Methods.
107,IR-ARM6133-04,intelligent_robotics_qa_pairs.jsonl,,ARM6133,keep,,Which year is ARM6133 Linear Algebra and Numerical Methods listed in?,ARM6133 Linear Algebra and Numerical Methods is listed in Year 1 of the Intelligent Robotics structure.
108,IR-ARM6133-05,intelligent_robotics_qa_pairs.jsonl,,ARM6133,keep,,What prerequisite is listed for ARM6133 Linear Algebra and Numerical Methods in the MMU website structure?,Prerequisite for ARM6133 Linear Algebra and Numerical Methods: No prerequisite is specified on the MMU programme page or current extracted prerequisite rules.
109,IR-ARM6133-06,intelligent_robotics_qa_pairs.jsonl,,ARM6133,keep,,How does ARM6133 connect to the Intelligent Robotics learning path?,ARM6133 Linear Algebra and Numerical Methods connects to Year 1 core study in Intelligent Robotics.
110,IR-MID6113-01,intelligent_robotics_qa_pairs.jsonl,,MID6113,keep,,What is MID6113 (Rapid Modelling) about?,"Hands-on prototyping and modelling skills for robotics design, fabrication, and iteration."
